Nome: SAO PAULO - MIRANTE
Codigo Estacao: A701
Latitude: -23.496294
Longitude: -46.620088
Altitude: 785.64
Situacao: Operante
Data Inicial: 2017-04-12
Data Final: 2017-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(W/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2017-04-12;1000;0;927,6;1017,446642;927,6;926,4;5,42;23;20,2;18;21,7;20,2;18,7;17,9;12,3;88;82;88;182;10,6;3,8;
2017-04-12;1100;0;928,5;1018,594585;928,5;927,6;498,129;23;19,7;16,7;20,2;19,5;17,9;16,7;12,6;89;83;83;186;10,6;3,5;
2017-04-12;1200;0;929,3;1019,439983;929,3;928,4;725,207;23;19,8;16,3;20,3;19,4;17,2;16;12,7;83;78;80;169;7,7;3,5;
2017-04-12;1300;0;929,6;1019,769082;929,6;929,3;670,915;22;19,8;16,3;20,1;19,6;16,5;16,1;12,6;81;78;80;182;8,7;2,3;
2017-04-12;1400;0;929,5;1019,498555;929,7;929,5;635,265;22;20,3;16,4;20,4;19,8;16,6;16;12,7;81;76;79;148;6,8;2,3;
2017-04-12;1500;0;929,2;1019,041299;929,5;929,1;934,803;23;20,7;16,4;21,2;20,2;16,4;15,9;12,8;79;72;77;187;6,5;3,3;
2017-04-12;1600;0;928,5;1017,986697;929,2;928,5;1156,869;23;21,6;17,2;21,6;19,3;17,8;16,3;13,5;87;75;76;150;7,9;2,6;
2017-04-12;1700;0;928,1;1017,995072;928,5;928,1;1558,128;24;20,2;15,3;22,6;20,2;17,7;15,3;12,9;76;69;74;158;9,5;4,3;
2017-04-12;1800;0;927,9;1018,03304;928,1;927,8;657,017;23;19,4;15,5;20,2;19,3;15,5;14,8;12,6;78;73;78;161;10,4;3,6;
2017-04-12;1900;0;927,7;1017,813613;927,9;927,6;390,183;22;19,4;15,4;19,4;19;15,7;15,1;12,7;80;77;78;170;7,8;3,7;
2017-04-12;2000;0;928;1018,531579;928,1;927,7;290,355;22;18,2;16;19,5;18,2;16;15,1;12,5;87;77;87;157;7,8;3,3;
2017-04-12;2100;,6;928,7;1019,462993;928,7;928,1;25,941;21;17,7;16,2;18,2;17,7;16,6;16;12,4;92;87;91;146;7,5;2,7;
2017-04-12;2200;0;929,3;1020,154348;929,3;928,7;-3,454;20;17,6;15,5;17,7;17,4;16,2;15,5;12,3;91;87;87;145;6,5;2,5;
2017-04-12;2300;0;929,4;1020,10076;929,5;929,3;-1,004;20;18,1;14,8;18,1;17,6;15,5;14,8;12,3;87;81;81;135;6,2;2,1;
2017-04-13;0000;0;930,1;1020,934398;930,2;929,4;-,519;20;17,9;15,2;18,1;17,7;15,3;14,7;12,2;85;81;84;151;5,8;1,7;
2017-04-13;0100;0;930,2;1021,011486;930,2;930;-,452;20;18;15,2;18,1;17,8;15,3;15,1;12,2;85;83;83;133;5;1,7;
2017-04-13;0200;0;930;1020,791961;930,2;930;-,119;20;18;15,5;18,2;18;15,5;15,2;12,2;85;83;85;146;4,5;2,1;
2017-04-13;0300;0;929,9;1020,911363;930;929,8;-1,175;20;17,3;15,9;18;17,3;15,9;15,5;12,2;92;85;92;167;5,1;2;
2017-04-13;0400;,6;929,7;1020,658987;930,1;929,7;-,765;20;17,4;16,2;17,4;17,2;16,2;15,9;12,2;93;92;93;148;4,8;1,7;
2017-04-13;0500;0;929,3;1020,154348;929,8;929,3;-1,157;19;17,6;15,5;17,7;17,4;16,4;15,5;12,2;93;87;88;142;7,6;2;
2017-04-13;0600;0;928,8;1019,605465;929,3;928,8;-,491;19;17,6;15,4;17,7;17,6;15,6;15,4;12,1;88;87;87;150;5,8;2,4;
2017-04-13;0700;0;928,6;1019,385912;928,8;928,5;-1,355;19;17,6;15,4;17,7;17,5;15,4;15,3;12,1;87;86;87;141;5,8;1,8;
2017-04-13;0800;0;928,7;1019,56115;928,7;928,3;-2,199;19;17,4;15,5;17,6;17,3;15,5;15,3;12,1;89;87;88;138;5,4;1,8;
2017-04-13;0900;0;929;1019,890501;929;928,7;-3,533;19;17,4;15,4;17,5;17,3;15,5;15,2;12,1;88;87;88;147;5,2;2,2;
2017-04-13;1000;0;929,6;1020,516429;929,6;929;42,096;19;17,5;15,3;17,5;17,4;15,4;15;12,1;88;85;87;143;7,3;1,3;
2017-04-13;1100;0;929,9;1020,649555;929,9;929,6;422,19;20;18,1;14,2;18,2;17,5;15,2;14,1;12,2;87;77;78;152;6,2;2,6;
2017-04-13;1200;0;930,5;1020,982749;930,5;929,9;722,051;20;19,1;14,5;19,1;18,1;14,6;14,1;12,6;78;73;75;146;5,8;2,9;
2017-04-13;1300;0;930,9;1021,195179;931;930,5;985,518;21;19,8;14,3;19,9;18,8;14,7;14,1;12,7;76;71;71;128;5,9;1,9;
2017-04-13;1400;0;930,5;1020,950342;930,9;930,5;976,594;22;19,2;15,5;20,3;19,2;15,5;14,1;12,6;79;70;79;187;5,6;2,7;
2017-04-13;1500;0;930,4;1021,002875;930,5;930,4;587,994;21;18,7;15,4;19,3;18,3;15,7;15;12,6;83;78;81;162;7,7;2,8;
2017-04-13;1600;0;929,6;1019,833581;930,4;929,6;1025,964;22;19,6;15,2;20;18,5;15,7;15,1;12,6;82;74;76;151;6,1;2,6;
2017-04-13;1700;0;928,9;1019,033398;929,6;928,9;576,507;22;19,7;15;19,8;19;15,4;14,8;12,6;78;74;74;145;7,1;2;
2017-04-13;1800;0;928,6;1018,897992;928,9;928,6;424,121;21;19,1;14,9;19,7;19,1;15,3;14,6;12,4;77;73;77;153;6,6;3,5;
2017-04-13;1900;0;928,6;1018,995156;928,6;928,5;249,67;21;18,8;14,7;19,3;18,8;15,2;14,7;12,4;78;76;77;151;6,5;3,1;
2017-04-13;2000;0;928,4;1018,646209;928,6;928,4;300,188;21;19,2;14,5;19,2;18,7;14,8;14,4;12,3;77;74;74;128;6,2;2,1;
2017-04-13;2100;0;928,7;1019,267314;928,7;928,4;47,531;21;18,3;14,6;19,2;18,3;14,7;14,5;12,1;79;74;79;149;5,8;2,3;
2017-04-13;2200;0;929,2;1020,011859;929,2;928,6;-,074;20;17,7;14,8;18,3;17,6;15;14,6;12,1;84;79;83;141;6,9;1,5;
2017-04-13;2300;0;929,9;1020,944195;929,9;929,2;-2,594;20;17,2;14,9;17,8;17,2;15;14,6;12,1;87;82;86;138;5,4;2,3;
2017-04-14;0000;0;930,3;1021,28489;930,3;929,9;-3,006;19;17,5;14,4;17,6;17,3;14,9;14,2;12,1;86;81;82;116;7,7;3,2;
2017-04-14;0100;0;930,3;1021,28489;930,4;930,2;-1,29;19;17,5;14,2;17,6;17,4;14,5;14,1;12;83;80;81;113;5,9;3,3;
2017-04-14;0200;0;930,2;1021,240724;930,3;930,1;-,808;19;17,3;13,9;17,6;17,3;14,2;13,8;12;81;79;80;121;6,9;2,6;
2017-04-14;0300;0;930;1021,02115;930,2;930;-1,82;19;17,3;13,8;17,5;17,3;14;13,8;12;81;80;80;115;6,3;2,8;
2017-04-14;0400;0;929,7;1020,955053;930;929,7;-1,091;19;16,5;14,2;17,4;16,5;14,2;13,7;12;86;79;86;109;6,3;3,7;
2017-04-14;0500;0;929,2;1020,274224;929,7;929,2;-1,206;19;16,9;14;16,9;16,5;14,4;14;12;87;83;83;115;6,1;2,2;
2017-04-14;0600;0;928,9;1019,846287;929,2;928,9;-1,195;19;17,2;14;17,2;16,9;14;13,9;12;83;81;82;111;5;2;
2017-04-14;0700;0;928,5;1019,374342;928,9;928,4;-1,371;19;17,3;14;17,3;17,2;14,1;13,9;12;82;81;81;112;4,8;1,9;
2017-04-14;0800;0;928,3;1019,220342;928,6;928,3;-,491;19;17,1;14,2;17,3;17,1;14,3;14;11,9;83;81;83;77;4,8;2,2;
2017-04-14;0900;0;929,1;1020,131547;929,1;928,3;-1,095;19;17;14,4;17,1;16,9;14,4;14,2;11,9;85;83;85;104;5,4;1,5;
2017-04-14;1000;0;929,6;1020,614822;929,6;929,1;36,188;19;17,2;14,5;17,2;17;14,5;14,3;11,9;85;84;84;111;3,8;1,4;
2017-04-14;1100;0;929,9;1020,878554;930;929,6;266,451;19;17,4;14,6;17,5;17,1;14,8;14,4;12;85;84;84;88;4,1;2,2;
2017-04-14;1200;0;930,4;1021,231012;930,4;929,9;535,31;19;18;15;18,1;17,4;15,2;14,6;12;85;82;83;75;5,9;2,2;
2017-04-14;1300;0;930,7;1021,299582;930,7;930,4;895,242;20;18,8;15;19,1;18;15,5;14,9;12;83;78;79;64;5,1;2,2;
2017-04-14;1400;0;930,5;1020,563248;930,8;930,5;1358,492;22;20,4;15,9;20,4;18,8;15,9;15;12,4;80;73;75;88;4,7;1,2;
2017-04-14;1500;0;930;1019,567649;930,5;930;2093,673;23;21,8;15,4;22,1;19,9;16,3;15;12,7;75;67;67;135;4;1,3;
2017-04-14;1600;0;929,3;1018,515296;930;929,3;2106,919;25;22,7;15,9;22,9;21;16,4;15,1;12,8;71;64;65;133;4,3;1,2;
2017-04-14;1700;0;928,7;1017,794662;929,3;928,7;2033,101;26;22,9;15,8;23,2;21,6;16,2;15,1;12,8;68;62;64;186;3,9;1,4;
2017-04-14;1800;0;928,5;1017,638494;928,7;928,5;1673,383;26;22,7;15,7;24,6;22,5;16,6;15,1;12,6;67;58;64;175;5,1;2,3;
2017-04-14;1900;0;928,5;1017,764799;928,5;928,3;1681,85;27;22,3;15,9;23,8;22,2;16,4;15,6;12,6;68;62;67;173;6,4;3,1;
2017-04-14;2000;0;928,7;1018,429023;928,7;928,5;736,129;26;20,9;15,9;22,5;20,9;16,3;15,7;12,5;73;66;73;159;6,7;2,8;
2017-04-14;2100;0;928,9;1018,904681;928,9;928,6;111,028;24;20,1;15,9;20,9;20,1;16,2;15,8;12,4;77;73;77;158;5,9;2,2;
2017-04-14;2200;0;929,2;1019,362507;929,2;928,9;-2,028;23;19,7;15,8;20,1;19,6;15,9;15,7;12,3;79;77;78;148;5,2;1,3;
2017-04-14;2300;0;929,6;1019,833581;929,6;929,2;-2,333;22;19,6;15,8;19,8;19,5;15,9;15,6;12,3;79;78;79;145;4,6;1,6;
2017-04-15;0000;0;930;1020,304706;930;929,6;-2,008;22;19,5;15,8;19,6;19,5;15,9;15,6;12,3;79;78;79;140;3,7;1,3;
2017-04-15;0100;0;930;1020,434129;930;929,9;-3,248;21;19,1;15,5;19,5;19,1;15,8;15,5;12,2;80;79;79;109;3,4;1,2;
2017-04-15;0200;0;930;1020,49898;930,1;929,9;-3,54;21;18,9;15;19,1;18,9;15,5;15;12,2;80;78;78;108;3,4;1,4;
2017-04-15;0300;0;929,8;1020,474586;930,1;929,7;-3,54;20;18,3;15,5;18,9;18,2;15,5;15;12,2;84;78;84;84;3,4;1,2;
2017-04-15;0400;0;929,3;1020,023623;929,8;929,3;-3,54;20;18;15,8;18,3;17,9;15,8;15,5;12,2;87;84;87;105;2,9;1,7;
2017-04-15;0500;0;928,8;1019,47481;929,3;928,7;-3,344;20;18;16;18,1;17,9;16,1;15,8;12,2;88;87;88;107;3,8;1,9;
2017-04-15;0600;0;928,4;1019,068374;928,8;928,4;-2,769;20;17,9;16;18;17,8;16,1;15,9;12,1;89;88;89;95;3,2;1,5;
2017-04-15;0700;0;928,1;1018,706472;928,5;928,1;-1,715;20;18;16,1;18;17,8;16,1;15,9;12,1;89;88;89;84;2,8;1;
2017-04-15;0800;0;928,4;1018,905537;928,4;928,1;-1,386;20;18,4;15,9;18,4;17,9;16,1;15,9;12,1;89;85;85;99;4,8;2,2;
2017-04-15;0900;0;928,8;1019,409624;928,8;928,4;-3,154;20;18,2;16;18,4;18;16;15,7;12,1;87;85;87;96;4,8;1;
2017-04-15;1000;0;929;1019,466543;929,1;928,8;65,063;19;18,7;16,4;18,7;17,9;16,4;15,8;12,1;88;86;86;60;3,5;1,4;
2017-04-15;1100;0;929,5;1019,659383;929,5;929;763,698;21;19,8;16,5;19,8;18,7;16,7;15,9;12,7;86;80;81;75;3,5;1,4;
2017-04-15;1200;0;930;1019,377347;930;929,5;1876,449;23;22,4;16,8;22,4;19,9;16,8;15,4;13;81;69;71;76;3,2;1,6;
2017-04-15;1300;0;930,2;1019,218295;930,3;930;2846,569;25;23,6;16;23,6;21,8;16,7;15,2;13,2;70;62;62;85;3,2;,6;
2017-04-15;1400;0;929,9;1018,639257;930,2;929,9;3094,779;27;24,4;15,8;24,9;22,5;16,9;15,3;12,9;67;59;59;230;2,9;1,1;
2017-04-15;1500;0;929,4;1017,595352;929,9;929,4;3237,174;28;26;15,2;26;23,3;16,4;14,9;13,6;63;51;51;246;3,8;,8;
2017-04-15;1600;0;928,8;1016,969244;929,4;928,8;3872,295;29;25,9;13,7;26,6;25,2;15,8;13,7;13,3;54;47;47;124;5,2;2,1;
2017-04-15;1700;0;928,2;1015,882905;928,8;928,2;3223,054;30;27,3;13,9;27,5;25,8;15,2;13,1;14;50;42;44;201;5,2;1,6;
2017-04-15;1800;0;927,8;1015,445119;928,2;927,8;2765,74;31;27,3;15,2;27,8;26,5;15,7;12,8;14,1;48;42;48;151;5,2;2,2;
2017-04-15;1900;0;927,9;1016,076337;928;927,8;1819,966;31;25,6;15,2;27,3;25,5;15,8;14,8;14,1;53;47;53;174;7,2;3,6;
2017-04-15;2000;0;928,2;1016,839364;928,2;927,9;976,222;30;24,2;16,1;25,7;24,1;16,1;15,2;13;61;53;61;160;7,2;3,1;
2017-04-15;2100;0;928,6;1018,001091;928,6;928,2;164,15;28;21,9;16;24,2;21,9;16,2;15,9;12,5;70;60;70;128;6;2,2;
2017-04-15;2200;0;928,9;1018,680308;929;928,6;-3,54;25;20,8;15,9;21,9;20,8;16,1;15,9;12,5;74;70;74;138;5;1,7;
2017-04-15;2300;0;929,3;1019,311303;929,3;928,9;-3,54;23;20,2;15,6;20,8;20,2;15,8;15,5;12,5;75;73;75;142;4,1;1,4;
2017-04-16;0000;0;929,3;1019,439983;929,5;929,3;-3,54;22;19,8;16;20,2;19,7;16;15,6;12,4;79;75;79;129;3,5;1,1;
2017-04-16;0100;0;929,2;1019,427024;929,3;929,1;-3,54;22;19,5;15,7;19,9;19,5;16;15,7;12,4;79;78;79;105;3,2;1,8;
2017-04-16;0200;0;929,4;1019,743415;929,4;929,1;-3,54;21;19,2;15,7;19,5;19,1;15,7;15,5;12,4;80;79;80;116;3,1;1,1;
2017-04-16;0300;0;929;1019,401669;929,4;928,9;-3,54;21;18,9;15,6;19,2;18,9;15,7;15,5;12,4;81;80;81;110;2,3;1,3;
2017-04-16;0400;0;928,3;1018,730824;929;928,3;-3,54;20;18,6;15,8;18,9;18,6;15,8;15,6;12,3;84;81;84;68;3,5;1,5;
2017-04-16;0500;0;927,3;1017,828372;928,3;927,3;-3,54;20;18;15,4;18,6;18;15,8;15,3;12,3;85;83;85;33;4,6;1,2;
2017-04-16;0600;0;926,8;1017,409932;927,5;926,8;-3,54;20;17,6;15,4;18;17,5;15,6;15,2;12,3;87;85;87;51;2,4;,4;
2017-04-16;0700;0;926,6;1017,157757;926,9;926,3;-3,54;19;17,7;15,6;17,8;17,3;15,7;15,2;12,2;88;87;88;84;3,6;1;
2017-04-16;0800;0;926,5;1017,178597;926,8;926,4;-2,529;19;17,3;15,6;17,7;17,2;15,8;15,3;12,2;90;87;90;50;2,8;,9;
2017-04-16;0900;0;926,6;1017,223024;926,6;926,4;-1,785;20;17,5;15,7;17,6;17,3;15,9;15,6;12,2;90;89;89;48;2,4;1;
2017-04-16;1000;0;927,1;1017,870054;927,1;926,4;36,121;20;17,2;15,4;17,6;17,1;15,8;15,3;12,3;89;89;89;59;3,1;,7;
2017-04-16;1100;0;927,6;1018,288145;927,6;927,1;265,819;20;17,6;15,7;17,6;17,1;15,7;15,2;12,3;89;88;89;36;2,4;,9;
2017-04-16;1200;0;927,8;1018,149686;927,8;927,3;894,059;21;18,7;15,5;19,3;17,7;16,3;15,5;12,7;89;81;81;42;3,9;1,4;
2017-04-16;1300;0;927,8;1017,092395;927,9;927,7;2527,227;23;22;15,6;22;18,7;16,8;15;13,4;83;67;67;246;3,7;,8;
2017-04-16;1400;0;926,9;1015,135788;927,8;926,9;2630,91;25;25,1;15,9;25,1;22;16,7;15,3;13,8;67;57;57;96;2,5;,7;
2017-04-16;1500;0;926,4;1014,187883;926,9;926,4;3454,739;28;26,4;14,5;27,1;25,1;16,3;12,7;14;57;45;48;311;6,8;1,7;
2017-04-16;1600;0;925,7;1013,05552;926,4;925,6;3687,937;29;27,6;12,8;28,1;26,5;15,4;11,6;14,1;49;36;40;299;6,1;2,8;
2017-04-16;1700;0;925,1;1012,156729;925,7;925;3493,251;30;28,4;12,1;28,7;27,5;13,5;11,2;14,1;41;35;37;313;7,5;3,2;
2017-04-16;1800;0;924,7;1011,598557;925,1;924,7;2815,205;31;28,8;10,5;29,1;27,8;14;10;14,1;41;32;32;251;9,3;3,1;
2017-04-16;1900;0;924,5;1011,711955;924,7;924,5;1756,416;31;27,7;9,6;28,8;27,7;11,8;9,4;14,1;36;31;32;278;8,2;3,6;
2017-04-16;2000;0;924,7;1012,265635;924,7;924,5;843,295;30;26,6;11,7;27,9;26,6;12,2;9,8;12,8;41;32;40;289;7,6;3,2;
2017-04-16;2100;0;924,9;1012,822039;924,9;924,7;130,284;29;25,5;13;26,6;25,5;13,1;11,8;12,5;46;39;46;265;6,2;1,7;
2017-04-16;2200;0;925,3;1013,476264;925,3;924,9;-3,54;27;24,8;13,7;25,6;24,8;13,7;13;12,5;50;46;50;268;4,2;1,8;
2017-04-16;2300;0;926;1014,429273;926;925,3;-3,54;26;24,2;14;24,8;24;14,1;13,7;12,4;54;50;53;249;4;1,8;
2017-04-17;0000;0;926,2;1015,117688;926,2;926;-3,54;25;22,7;16,7;24,3;22,7;16,7;13,9;12,4;69;52;69;181;5,1;1,9;
2017-04-17;0100;0;926,5;1015,889173;926,5;926,2;-3,531;24;21,3;17,2;22,7;21,3;17,6;16,7;12,4;78;69;77;175;7,4;3,8;
2017-04-17;0200;0;926,7;1016,267673;926,9;926,5;-2,577;24;20,8;16,2;21,3;20,8;17,2;16,2;12,4;78;75;75;229;7,4;1,6;
2017-04-17;0300;0;926,5;1016,048343;926,8;926,5;-3,167;23;20,8;16,4;20,9;20,5;16,6;16,1;12,4;77;75;76;172;4,8;2,6;
2017-04-17;0400;0;926,2;1015,943067;926,6;926,2;-3,382;23;20,1;16,3;20,8;20,1;16,5;16,3;12,4;79;76;78;169;4,8;1,2;
2017-04-17;0500;0;926,1;1015,737372;926,2;926;-2,883;22;20,4;16,3;20,4;20,1;16,4;16,1;12,4;79;77;77;140;4,2;1,2;
2017-04-17;0600;0;925,9;1015,64604;926,1;925,8;-3,215;22;20;16,2;20,4;19,9;16,4;16,2;12,3;80;77;79;165;3,4;1,4;
2017-04-17;0700;0;925,6;1015,413191;925,9;925,5;-3,437;21;19,7;16;20;19,5;16,1;15,7;12,3;80;77;79;176;3,1;,2;
2017-04-17;0800;0;925,6;1015,349015;925,6;925,5;-1,252;21;19,9;15,8;20;19,7;16,1;15,7;12,3;79;76;77;152;3,8;,5;
2017-04-17;0900;0;926,1;1015,961707;926,1;925,6;-3,027;21;19,7;15,9;20;19,7;15,9;15,8;12,3;79;77;79;143;4,3;,9;
2017-04-17;1000;0;927;1017,0134;927;926,1;2,584;21;19,5;16,2;19,7;19,4;16,2;15,9;12,3;82;79;82;187;2,5;,8;
2017-04-17;1100;,2;927,3;1017,278146;927,3;927;158,309;21;19,7;16,6;19,7;19,4;16,7;16,2;12,3;84;81;82;9;1,9;0;
2017-04-17;1200;0;927,7;1017,492236;927,7;927,3;427,81;22;20,4;16,4;20,4;19,7;16,9;16,2;12,4;82;78;78;143;1,6;,2;
2017-04-17;1300;0;928;1017,533893;928;927,7;665,649;22;21,3;16,8;21,3;20,2;16,8;16,2;12,9;79;76;76;183;3,9;1,3;
2017-04-17;1400;0;927,8;1017,346431;928;927,6;1146,502;23;21,2;16,4;22,5;21,2;17,5;16;12,7;76;69;74;174;5,1;2,1;
2017-04-17;1500;,4;927,6;1017,542941;927,9;927,6;368,014;23;19,9;17,7;21,2;19,3;17,7;16,1;12,8;88;74;87;150;8,1;1,4;
2017-04-17;1600;0;927,1;1016,57887;927,6;927,1;1069,271;23;21,2;16;21,4;19,9;17,8;15,9;12,9;87;72;72;189;4,7;1,9;
2017-04-17;1700;0;927,2;1017,491258;927,2;927;310,341;23;18,7;16,2;21,3;18,7;16,3;15,6;12,6;85;71;85;175;7,4;4,1;
2017-04-17;1800;0;926,9;1016,935904;927,1;926,9;547,72;22;19,4;15,1;19,5;18,7;16,7;15,1;12,7;87;76;76;168;7,8;4,4;
2017-04-17;1900;0;927,1;1017,316778;927,1;926,9;374,747;21;18,9;14,6;19,6;18,8;15,3;14,6;12,5;78;75;76;169;7,8;3,5;
2017-04-17;2000;0;927,3;1017,439282;927,3;927;394,361;21;19,2;13,8;19,3;18,9;14,8;13,8;12,5;77;71;71;158;7,4;1,9;
2017-04-17;2100;0;927,6;1018,027548;927,6;927,3;46,239;21;18,4;15,2;19,2;18,4;15,2;13,3;12,4;82;69;82;136;5;2;
2017-04-17;2200;0;928;1018,466542;928;927,5;-3,329;21;18,4;15,7;18,6;18,3;15,7;15,2;12,4;84;82;84;146;5,3;1,1;
2017-04-17;2300;0;928,5;1019,04781;928,5;928;-2,654;20;18,3;15,5;18,6;18,2;15,7;15,5;12,3;85;83;84;153;6,5;3;
2017-04-18;0000;0;929;1019,726971;929;928,5;-3,018;20;17,9;14,1;18,5;17,9;15,5;14,1;12,3;84;78;78;147;8,9;2,9;
2017-04-18;0100;0;929,2;1019,913861;929,2;929;-2,179;20;18;14,1;18;17,9;14,1;13,8;12,3;79;76;78;143;8,9;2,6;
2017-04-18;0200;0;929;1019,792312;929,2;929;-2,555;19;17,7;13,4;18;17,7;14,1;13,3;12,2;78;75;76;145;8,4;2,9;
2017-04-18;0300;0;929,1;1020,000285;929,1;928,8;-2,791;19;17,4;13,4;17,7;17,4;13,5;13,3;12,2;78;75;77;157;6,3;2,5;
2017-04-18;0400;0;928,9;1019,81349;929,1;928,9;-3,355;19;17,3;12,7;17,6;17,3;13,4;12,5;12,2;77;73;74;128;5,3;2;
2017-04-18;0500;0;928,2;1019,04498;928,9;928,2;-3,434;19;17,3;12,7;17,3;17,2;12,9;12,7;12,2;76;74;75;107;5,3;3,2;
2017-04-18;0600;0;927,8;1018,540386;928,2;927,8;-1,127;19;17,5;13,3;17,5;17,3;13,3;12,7;12,2;77;75;77;112;6,7;2,7;
2017-04-18;0700;0;927,6;1018,386257;927,8;927,5;-1,691;19;17,3;13,8;17,5;17,2;13,9;13,4;12,2;80;77;80;106;6,8;3,1;
2017-04-18;0800;0;927,8;1018,573097;927,8;927,5;-,602;19;17,4;13,8;17,4;17,2;13,9;13,7;12,2;81;79;79;99;8,5;3,2;
2017-04-18;0900;0;928,3;1019,318882;928,3;927,8;-2,834;19;16,8;13,8;17,4;16,6;14,2;13,7;12,2;85;79;82;110;7,9;3,3;
2017-04-18;1000;0;929,1;1020,131547;929,1;928,3;58,725;18;17;13,8;17;16,3;14,2;13,8;12,2;87;82;82;117;6,6;3,1;
2017-04-18;1100;0;930,1;1021,032561;930,1;929,1;358,682;19;17,6;13,7;17,6;16,9;13,9;13,6;12,2;82;78;78;114;6,3;3,7;
2017-04-18;1200;0;930,8;1021,409316;930,8;930,1;834,645;19;18,8;13,4;18,8;17,6;13,6;13,2;12,4;78;71;71;124;7,5;2,3;
2017-04-18;1300;0;931,1;1021,673546;931,2;930,8;1400,508;21;19;12,2;19,3;18,4;13,4;11,9;12,7;71;63;65;106;8,5;4,4;
