DATA;VENDAS CAFÉ;VENDAS ALMOÇO;VENDAS JANTAR;VENDAS REFEIÇÃO*;TOTAL VENDAS;ENTR. CAFÉ;ENTR. ALMOÇO;ENTR. JANTAR;TOTAL ENTR. REFEIÇÃO*;TOTAL ENTRADA
(24/10/2019);0;113;0;113;113;0;130;17;147;147
(23/10/2019);0;256;0;256;256;0;203;46;249;249
(22/10/2019);0;277;0;277;277;0;236;54;290;290
(21/10/2019);0;252;0;252;252;0;171;61;232;232
(18/10/2019);0;233;0;233;233;0;202;92;294;294
(17/10/2019);0;500;0;500;500;0;371;180;551;551
(16/10/2019);0;379;62;441;441;0;347;185;532;532
(15/10/2019);0;444;150;594;594;0;343;211;554;554
(14/10/2019);0;491;144;635;635;0;347;138;485;485
(11/10/2019);0;253;0;253;253;0;194;69;263;263
(10/10/2019);0;520;8;528;528;0;321;192;513;513
(09/10/2019);0;503;18;521;521;0;342;191;533;533
(08/10/2019);0;643;2;645;645;0;398;294;692;692
(07/10/2019);0;612;54;666;666;0;357;192;549;549
(04/10/2019);0;276;0;276;276;0;212;81;293;293
(03/10/2019);0;536;54;590;590;0;391;244;635;635
(02/10/2019);0;555;3;558;558;0;372;195;567;567
(01/10/2019);0;592;34;626;626;0;405;252;657;657
(30/09/2019);0;478;93;571;571;0;310;148;458;458
(27/09/2019);0;261;0;261;261;0;195;103;298;298
(26/09/2019);0;484;2;486;486;0;335;196;531;531
(25/09/2019);0;638;5;643;643;0;379;225;604;604
(24/09/2019);0;643;10;653;653;0;403;295;698;698
(23/09/2019);0;655;0;655;655;0;357;230;587;587
(20/09/2019);0;275;0;275;275;0;214;85;299;299
(19/09/2019);0;575;3;578;578;0;392;234;626;626
(18/09/2019);0;595;3;598;598;0;369;201;570;570
(17/09/2019);0;668;8;676;676;0;422;308;730;730
(16/09/2019);0;682;1;683;683;0;378;230;608;608
(13/09/2019);0;307;2;309;309;0;216;116;332;332
(12/09/2019);0;622;4;626;626;0;408;242;650;650
(11/09/2019);0;644;6;650;650;0;372;245;617;617
(10/09/2019);0;659;3;662;662;0;421;305;726;726
(09/09/2019);0;730;23;753;753;0;384;234;618;618
(06/09/2019);0;235;23;258;258;0;218;81;299;299
(05/09/2019);0;627;12;639;639;0;384;268;652;652
(04/09/2019);0;596;2;598;598;0;368;232;600;600
(03/09/2019);0;611;38;649;649;0;423;261;684;684
(02/09/2019);0;691;2;693;693;0;351;232;583;583
(30/08/2019);0;284;12;296;296;0;211;95;306;306
(29/08/2019);0;529;49;578;578;0;391;255;646;646
(28/08/2019);0;558;27;585;585;0;338;244;582;582
(27/08/2019);0;692;56;748;748;0;417;316;733;733
(26/08/2019);0;683;25;708;708;0;389;272;661;661
(23/08/2019);0;239;20;259;259;0;216;104;320;320
(22/08/2019);0;555;66;621;621;0;388;266;654;654
(21/08/2019);0;630;38;668;668;0;374;275;649;649
(20/08/2019);0;615;63;678;678;0;406;322;728;728
(19/08/2019);0;695;83;778;778;0;387;276;663;663
(16/08/2019);0;284;21;305;305;0;225;110;335;335
(15/08/2019);0;569;93;662;662;0;420;272;692;692
(14/08/2019);0;614;18;632;632;0;407;266;673;673
(13/08/2019);0;111;0;111;111;0;82;19;101;101
(12/08/2019);0;687;6;693;693;0;391;225;616;616
(09/08/2019);0;191;28;219;219;0;167;87;254;254
(08/08/2019);0;449;122;571;571;0;322;122;444;444
(07/08/2019);0;11;0;11;11;0;11;0;11;11
(06/08/2019);0;14;0;14;14;0;12;0;12;12
(05/08/2019);0;1;0;1;1;0;1;0;1;1
(05/07/2019);0;19;1;20;20;0;26;4;30;30
(04/07/2019);0;60;3;63;63;0;65;7;72;72
(03/07/2019);0;62;18;80;80;0;80;43;123;123
(02/07/2019);0;113;3;116;116;0;116;35;151;151
(01/07/2019);0;80;3;83;83;0;94;23;117;117
(28/06/2019);0;111;4;115;115;0;196;20;216;216
(27/06/2019);0;376;120;496;496;0;259;120;379;379
(26/06/2019);0;348;8;356;356;0;266;129;395;395
(25/06/2019);0;442;153;595;595;0;438;146;584;584
(24/06/2019);0;632;11;643;643;0;385;157;542;542
(19/06/2019);0;486;1;487;487;0;416;135;551;551
(18/06/2019);0;620;2;622;622;0;456;237;693;693
(17/06/2019);0;744;2;746;746;0;417;198;615;615
(13/06/2019);0;630;4;634;634;0;444;249;693;693
(12/06/2019);0;605;4;609;609;0;394;177;571;571
(11/06/2019);0;675;1;676;676;0;468;289;757;757
(10/06/2019);0;720;4;724;724;0;419;199;618;618
(07/06/2019);0;271;4;275;275;0;243;45;288;288
(06/06/2019);0;195;0;195;195;0;162;26;188;188
(05/06/2019);0;232;12;244;244;0;215;64;279;279
(04/06/2019);0;269;5;274;274;0;195;28;223;223
(03/06/2019);0;15;0;15;15;0;13;0;13;13
(31/05/2019);0;269;2;271;271;0;270;50;320;320
(30/05/2019);0;37;0;37;37;0;38;6;44;44
(29/05/2019);0;635;9;644;644;0;428;218;646;646
(28/05/2019);0;639;4;643;643;0;452;265;717;717
(27/05/2019);0;756;12;768;768;0;434;211;645;645
(24/05/2019);0;254;16;270;270;0;251;49;300;300
(23/05/2019);0;610;0;610;610;0;439;223;662;662
(22/05/2019);0;610;8;618;618;0;424;227;651;651
(21/05/2019);0;589;61;650;650;0;459;256;715;715
(20/05/2019);0;670;12;682;682;0;416;188;604;604
(17/05/2019);0;293;2;295;295;0;268;66;334;334
(16/05/2019);0;690;0;690;690;0;400;244;644;644
(15/05/2019);0;16;0;16;16;0;19;0;19;19
(14/05/2019);0;737;10;747;747;0;506;276;782;782
(13/05/2019);0;715;2;717;717;0;393;195;588;588
(10/05/2019);0;291;0;291;291;0;279;48;327;327
(09/05/2019);0;680;2;682;682;0;455;259;714;714
(08/05/2019);0;658;0;658;658;0;424;215;639;639
(07/05/2019);0;710;0;710;710;0;501;298;799;799
(06/05/2019);0;765;1;766;766;0;440;214;654;654
(03/05/2019);0;299;0;299;299;0;264;57;321;321
(02/05/2019);0;684;2;686;686;0;438;235;673;673
(30/04/2019);0;627;1;628;628;0;475;257;732;732
(29/04/2019);0;763;0;763;763;0;429;184;613;613
(26/04/2019);0;341;0;341;341;0;313;66;379;379
(25/04/2019);0;614;0;614;614;0;452;229;681;681
(24/04/2019);0;698;2;700;700;0;442;245;687;687
(23/04/2019);0;702;0;702;702;0;490;253;743;743
(22/04/2019);0;697;0;697;697;0;411;189;600;600
(18/04/2019);0;482;4;486;486;0;417;127;544;544
(17/04/2019);0;706;2;708;708;0;457;264;721;721
(16/04/2019);0;673;3;676;676;0;484;276;760;760
(15/04/2019);0;730;3;733;733;0;421;207;628;628
(12/04/2019);0;312;4;316;316;0;293;48;341;341
(11/04/2019);0;629;4;633;633;0;436;225;661;661
(10/04/2019);0;719;8;727;727;0;452;234;686;686
(09/04/2019);0;785;12;797;797;0;501;317;818;818
(08/04/2019);0;747;4;751;751;0;431;224;655;655
(05/04/2019);0;313;3;316;316;0;282;53;335;335
(04/04/2019);0;645;2;647;647;0;472;228;700;700
(03/04/2019);0;750;0;750;750;0;466;254;720;720
(02/04/2019);0;692;0;692;692;0;502;295;797;797
(01/04/2019);0;833;0;833;833;0;450;217;667;667
(29/03/2019);0;339;0;339;339;0;324;57;381;381
(28/03/2019);0;710;4;714;714;0;486;268;754;754
(27/03/2019);0;755;3;758;758;0;459;282;741;741
(26/03/2019);0;776;2;778;778;0;506;317;823;823
(25/03/2019);0;708;4;712;712;0;456;166;622;622
(22/03/2019);0;392;2;394;394;0;341;81;422;422
(21/03/2019);0;668;0;668;668;0;454;274;728;728
(20/03/2019);0;912;7;919;919;0;473;303;776;776
(15/03/2019);0;359;0;359;359;0;318;73;391;391
(14/03/2019);0;582;1;583;583;0;371;268;639;639
(13/03/2019);0;694;0;694;694;0;458;239;697;697
(12/03/2019);0;667;2;669;669;0;417;287;704;704
(11/03/2019);0;731;1;732;732;0;434;234;668;668
(08/03/2019);0;228;0;228;228;0;209;64;273;273
(07/03/2019);0;676;0;676;676;0;387;221;608;608
(01/03/2019);0;203;0;203;203;0;224;44;268;268
(28/02/2019);0;534;0;534;534;0;394;252;646;646
(27/02/2019);0;764;6;770;770;0;380;228;608;608
(26/02/2019);0;615;0;615;615;0;401;233;634;634
(25/02/2019);0;807;0;807;807;0;455;196;651;651
(22/02/2019);0;314;0;314;314;0;275;61;336;336
(21/02/2019);0;779;0;779;779;0;458;279;737;737
(20/02/2019);0;966;0;966;966;0;441;246;687;687
